keys,fr,en,es
KEY_TITRE_CREER_MODIF_EVENT,Créer/Modif Evenement :,Create/Edit Event :,
KEY_TITRE,Titre :,Title :,
KEY_COLOR,Couleur :,Color :,
KEY_CALENDAR,Calendrier :,Calendar :,
KEY_DATE,Date :,Date :,
KEY_HEURE_DEB,Heure deb :,Start hour :,
KEY_HEURE_FIN,Heure fin :,End hour :,
KEY_EXPL_FMT_HEURE,"Format : ""[heure]h[minutes]"" ou ""[heure]:[minutes]"", avec heure entre 0 et 23 et minutes entre 0 et 59","Format: ""[hour]h[minutes]"" or ""[hour]:[minutes]"", with hours between 0 and 23 and minutes between 0 and 59",
KEY_SUPPRIMER,Supprimer,Delete,
KEY_ANNULER,Annuler,Cancel,
KEY_VALIDER,Valider,Validate,
KEY_PROCHAIN_EVENTS,Prochains évenements :,Next events :,
KEY_VOIR_OLD_EVENTS,voir les évenements qui sont passés,See old events,
KEY_NO_EVENTS,Vous n'avez pas de prochains évenements,You don't have next events,
KEY_RETOUR,Retour,Back,
KEY_OLD_EVENTS,Ancients évenements,Old events,
KEY_NO_OLD_EVENTS,Vous n'avez pas d'ancient évenements,You don't have old events,
KEY_SETTINGS,Paramètres,Settings,
KEY_HEURE,Heure,Hour,
KEY_FONT_SIZE,Taille du texte :,Font size :,
KEY_LANGUE,Langue :,Language :,
KEY_SEQ_BEG_LAT,Seq deb latex :,Sequence to begin latex :,
KEY_SEQ_END_LAT,Seq fin latex :,Sequence to end latex :,
KEY_TYPE_MAINPAGE,Type page principale : ,Mainscreen type :,
KEY_APPTHEME,Theme de l'app : ,App theme,
KEY_DATAPATH,Chemin du data : ,Data path :,
KEY_WARNING_DATAPATH,! Ne changez le chemin du data que si vous savez ce que vous faites !,! Don't change data path if you don't know what you do !,
KEY_APPLY,Appliquer,Apply,
KEY_FICHES_PRIORITE,Fiches à réviser en priorité :,Sheets more needed to remind :,
KEY_CHERCHER_ELT,Rechercher un élément :,Search an element :,
KEY_SEARCH,Chercher,Search,
KEY_QUIZ,Quiz,Quiz,
KEY_V_SEL,Vous avez sélectionné,You have selected,
KEY_FICHES,fiches,sheets,
KEY_P_TOT,Pour un total de ,For a total of ,
KEY_ELEMENTS,éléments,items,
KEY_PRST_REPEAT,Preset répéter,Preset repeat,
KEY_PRESET_Q10,Preset 10 qsts sans reps,Preset 10 q° no repeats,
KEY_REPETS,Répétitions :,Repeat :,
KEY_NB_MAXQ,Nb max questions : ,Max number of questions :,
KEY_MODE,Mode :,Mode :,
KEY_CARTES,Cartes,Cards :,
KEY_ECRIRE,Ecrire,Write :,
KEY_LANCER_QUIZ,Lancer un quiz !,Start a quiz !,
